KW( Low Cost Si-Fe)26,26,1,0.0000601,1.678,2.154,5.8533,0.253038599,1.768,1.768,Ring core,63.1,31.37,26.27,14.37,3.675,52.80975,7.73
KW( Low Cost Si-Fe)40,40,1,0.0000769,1.769,2.159,5.4388,0.230521579,1.772,1.772,Ring core,63.1,31.37,21.27,14.37,2.94,42.2478,7.73
KW( Low Cost Si-Fe)60,60,1,0.000364,1.635,2.159,5.4388,0.230521579,1.772,1.772,Ring core,75.2,44.07,36.27,18.38,5.04,92.6352,15.25
KS-HF(Super Sendust)26,26,1,0.0000247,1.902,2.065,4.539,0.0984,1.887,1.887,Ring core,78.9,48,13.97,20,1.77,35.4,17.99
KS-HF(Super Sendust)40,40,1,0.0000287,1.978,2.065,4.539,0.0984,1.887,1.887,Ring core,78.9,48,21.2,20,2.787,55.74,17.99
KS-HF(Super Sendust)60,60,1,0.0000704,1.973,2.076,3.6868,0.069841795,1.87,1.87,Ring core,78.9,48,17.2,20,2.27,45.4,17.99
KS-HF(Super Sendust)75,75,1,0.000255,1.82045,2.076,3.6868,0.069841795,1.87,1.87,Ring core,103.1,55.7,14.9,24.27,2.972,72.13044,1.7437
KS-HF(Super Sendust)90,90,1,0.000514,1.7945,2.076,3.6868,0.069841795,1.87,1.87,Ring core,103.1,55.7,17.8,24.27,3.522,85.47894,2.4885
KS-HF(Super Sendust)125,125,1,0.000653,1.851718303,2.076,3.6868,0.069841795,1.87,1.87,Ring core,134.2,77,21.7,32.42,5.347,173.34974,3.6984
KNF(Neu Flux)26,26,1,0.0000167,1.809,2.1,5.663,0.3804,1.675,1.675,Ring core,134.2,77,26.8,32.42,6.71,217.5382,5.641
KNF(Neu Flux)40,40,1,0.00000646,2.15,2.1,5.663,0.3804,1.675,1.675,Ring core,166.5,101,33.15,41.2,9.87,406.644,8.6309
KNF(Neu Flux)60,60,1,0.0000696,1.859,2.15,5.101,0.1561,1.822,1.822,Ring core,167.2,86.9,27.3,38.65,9.46,365.629,5.8535
KNF(Neu Flux)75,75,1,0.000136,1.866,2.15,5.101,0.1561,1.822,1.822,,,,,,,,
KNF(Neu Flux)90,90,1,0.0002,1.871,2.15,5.101,0.1561,1.822,1.822,,,,,,,,
KPH(Super Sendust)26,26,1,0.0000294,1.872,2.232,3.819,0.0459,1.92,1.92,,,,,,,,
KPH(Super Sendust)40,40,1,0.0000878,1.812,2.232,3.819,0.0459,1.92,1.92,,,,,,,,
KPH(Super Sendust)60,60,1,0.0000741,1.977,2.14,2.86006,0.133238,1.71,1.71,,,,,,,,
KPH-HP(Super Sendust)26,26,1,0.0000543,1.7,2.037,2.40165,0.421605,1.531,1.531,,,,,,,,
KPH-HP(Super Sendust)40,40,1,0.0000041,2.299,2.037,2.1348,0.37476,1.531,1.531,,,,,,,,
KPH-HP(Super Sendust)60,60,1,0.0000129,2.299,2.25334,2.650557,0.017992,2.10049,2.10049,,,,,,,,
KPH-HP(Super Sendust)75,75,1,0.0000679,2.099,2.25334,2.650557,0.017992,2.10049,2.10049,,,,,,,,
KSF-HP(Si-Fe)60,60,1,0.0000216,2.101,2.25334,2.854446,0.019376,2.10049,2.10049,,,,,,,,
KSF-HP(Si-Fe)75,75,1,0.000174,1.826,2.25334,2.854446,0.019376,2.10049,2.10049,,,,,,,,
KAF(Nanodust)26,26,1,0.0000164,2.033,2.389,3.795,0.02,1.932,1.932,,,,,,,,
KAF(Nanodust)40,40,1,0.00011,1.796,2.389,3.795,0.02,1.932,1.932,,,,,,,,
KAF(Nanodust)60,60,1,0.000103,1.976,2.02,2.2668,0.016773689,1.968,1.968,,,,,,,,
KAF(Nanodust)75,75,1,0.00135,1.52758,2.02,2.2668,0.016773689,1.968,1.968,,,,,,,,
